freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8, band 9, band 10, band 11, band 12, band 13, band 14, band 15, band 16
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.687269, 0.688349, 0.688359, 0.721684, 0.721688, 0.722722, 0.815277, 0.81555, 0.815537, 0.841108, 0.841112, 0.959407, 0.959444, 0.963023
freqs:, 2, 0.05, 0.05, 0, 0.1, 0.0570118, 0.0570786, 0.684472, 0.685311, 0.687199, 0.719967, 0.72018, 0.721201, 0.815046, 0.819656, 0.819838, 0.842025, 0.842452, 0.957573, 0.960745, 0.963663
freqs:, 3, 0.1, 0.1, 0, 0.2, 0.113667, 0.113802, 0.675659, 0.676471, 0.684542, 0.716156, 0.716384, 0.717516, 0.813862, 0.830881, 0.83102, 0.844733, 0.846282, 0.950941, 0.964633, 0.96724
freqs:, 4, 0.15, 0.15, 0, 0.3, 0.169594, 0.169797, 0.662206, 0.663037, 0.680541, 0.711501, 0.711981, 0.712841, 0.811961, 0.845896, 0.84597, 0.849268, 0.852226, 0.941186, 0.970714, 0.973295
freqs:, 5, 0.2, 0.2, 0, 0.4, 0.224386, 0.22466, 0.645785, 0.646628, 0.675578, 0.705363, 0.707966, 0.708621, 0.809482, 0.854685, 0.858404, 0.863169, 0.86367, 0.930055, 0.977889, 0.98059
freqs:, 6, 0.25, 0.25, 0, 0.5, 0.277585, 0.277934, 0.62745, 0.628295, 0.670159, 0.698814, 0.704208, 0.704815, 0.806638, 0.861657, 0.866384, 0.880202, 0.880404, 0.918835, 0.980265, 0.982909
freqs:, 7, 0.3, 0.3, 0, 0.6, 0.328667, 0.329093, 0.607495, 0.608333, 0.664813, 0.69259, 0.700831, 0.701426, 0.803702, 0.869327, 0.874182, 0.895888, 0.895989, 0.908515, 0.966879, 0.968494
freqs:, 8, 0.35, 0.35, 0, 0.7, 0.377029, 0.377535, 0.585633, 0.586452, 0.660046, 0.687215, 0.698002, 0.698596, 0.800982, 0.877131, 0.881366, 0.899574, 0.9067, 0.907064, 0.953678, 0.954762
freqs:, 9, 0.4, 0.4, 0, 0.8, 0.421988, 0.42258, 0.561217, 0.561999, 0.656296, 0.68309, 0.695874, 0.696471, 0.798782, 0.884195, 0.887267, 0.892991, 0.906547, 0.907131, 0.95405, 0.95466
freqs:, 10, 0.45, 0.45, 0, 0.9, 0.462702, 0.463394, 0.533622, 0.534337, 0.653902, 0.6805, 0.694558, 0.69516, 0.797351, 0.888864, 0.889313, 0.891176, 0.900518, 0.901232, 0.965438, 0.965867
freqs:, 11, 0.5, 0.5, 0, 1, 0.492324, 0.493278, 0.508526, 0.50899, 0.653079, 0.679618, 0.694113, 0.694718, 0.796858, 0.887465, 0.891221, 0.892526, 0.897697, 0.898455, 0.977274, 0.978004
freqs:, 12, 0.525, 0.5, 0.025, 1.00125, 0.492506, 0.493494, 0.50882, 0.509389, 0.650246, 0.679044, 0.693131, 0.697089, 0.798523, 0.88385, 0.89058, 0.892413, 0.898873, 0.901754, 0.975645, 0.977946
freqs:, 13, 0.55, 0.5, 0.05, 1.00499, 0.492881, 0.494286, 0.509424, 0.510833, 0.643268, 0.677368, 0.689676, 0.703461, 0.803259, 0.877702, 0.888432, 0.892296, 0.901359, 0.908042, 0.970479, 0.978664
freqs:, 14, 0.575, 0.5, 0.075, 1.01119, 0.493278, 0.495756, 0.510252, 0.513319, 0.634316, 0.674758, 0.684656, 0.711411, 0.810438, 0.871466, 0.885014, 0.892255, 0.905306, 0.914506, 0.963115, 0.979949
freqs:, 15, 0.6, 0.5, 0.1, 1.0198, 0.493704, 0.497786, 0.511246, 0.516744, 0.624569, 0.671465, 0.67884, 0.719719, 0.819384, 0.865629, 0.880783, 0.89224, 0.910481, 0.920559, 0.954403, 0.980801
freqs:, 16, 0.625, 0.5, 0.125, 1.03078, 0.494153, 0.500226, 0.512278, 0.521011, 0.614611, 0.667799, 0.672892, 0.727754, 0.829534, 0.860406, 0.876167, 0.892233, 0.916511, 0.925905, 0.944915, 0.978739
